1,1
2,229
3,229
4,237
5,235
6,238
7,232
8,232
9,238
10,229
11,229
12,237
13,233
14,234
15,236
16,229
17,238
18,236
19,236
20,226
21,224
22,235
23,236
24,235
25,234
26,233
27,237
28,232
29,236
30,226
31,230
32,233
33,229
34,231
35,235
36,235
37,235
38,233
39,238
40,237
41,231
42,238
43,234
44,228
45,233
46,228
47,234
48,236
49,231
50,230
51,237
52,235
53,230
54,235
55,228
56,234
57,232
58,229
59,233
60,225
61,232
62,238
63,237
64,227
65,230
66,230
67,230
68,228
69,231
70,233
71,233
72,235
73,230
74,222
75,231
76,236
77,230
78,234
79,232
80,234
81,229
82,231
83,238
84,234
85,223
86,230
87,227
88,230
89,236
90,227
91,238
92,233
93,235
94,228
95,233
96,232
97,227
98,231
99,231
100,221
101,238
102,236
103,238
104,229
105,233
106,230
107,237
108,230
109,231
110,232
111,237
112,234
113,232
114,236
115,225
116,233
117,236
118,235
119,232
120,235
121,228
122,232
123,230
124,229
125,233
126,233
127,237
128,228
129,234
130,232
131,230
132,241
133,233
134,232
135,230
136,231
137,235
138,235
139,235
140,227
141,236
142,234
143,227
144,227
145,233
146,238
147,233
148,236
149,235
150,236
151,235
152,237
153,234
154,231
155,235
156,235
157,232
158,235
159,228
160,235
161,232
162,236
163,233
164,240
165,231
166,236
167,234
168,235
169,237
170,230
171,236
172,235
173,234
174,234
175,232
176,232
177,237
178,232
179,230
180,230
181,233
182,238
183,236
184,234
185,234
186,229
187,239
188,232
189,230
190,236
191,228
192,233
193,238
194,234
195,222
196,236
197,233
198,229
199,234
200,232
201,237
202,231
203,228
204,228
205,238
206,229
207,231
208,225
209,236
210,228
211,232
212,239
213,244
214,232
215,234
216,235
217,232
218,229
219,226
220,224
221,238
222,231
223,230
224,228
225,239
226,236
227,241
228,232
229,228
230,230
231,235
232,233
233,236
234,230
235,239
236,237
237,226
238,242
239,231
240,231
241,232
242,230
243,231
244,228
245,240
246,227
247,234
248,227
249,234
250,232
251,231
252,237
253,233
254,234
255,225
256,230
257,227
258,246
259,251
260,253
261,250
262,249
263,253
264,255
265,249
266,251
267,251
268,253
269,252
270,253
271,252
